name,lat,lon,説明,住所
064-2 パークフィーネ南大沢一番館前,35.6104344444444,139.366941388889,ポスター掲示場,鑓水２－８３
064-3 絹の道一番街北側,35.6130725,139.366781666667,ポスター掲示場,鑓水２－８１
064-4 宮上駐在所西側植込前壁面,35.61288,139.368245833333,ポスター掲示場,南大沢５－１４－８
064-5 鑓水中学校東,35.6130791666667,139.360649166667,ポスター掲示場,鑓水２－６７
064-6 鑓水小学校北西側,35.6139027777778,139.363355277778,ポスター掲示場,鑓水２－７４
064-7 鑓水公園西側入口脇,35.6108469444444,139.3599775,ポスター掲示場,鑓水２－６６
065-1 信号「由木西小入口」前,35.6156816666667,139.361965555556,ポスター掲示場,鑓水４２先
065-2 鑓水公会堂前,35.6173091666667,139.354625833333,ポスター掲示場,鑓水１０２７－１
065-3 鑓水まちの広場南側フェンス前,35.6163788888889,139.355238055556,ポスター掲示場,鑓水１０４２先
065-4 多摩美術大学入口東側,35.6132513888889,139.3506025,ポスター掲示場,鑓水２－１７２３先
065-5 信号「多摩美大西」東方先,35.6135177777778,139.348273333333,ポスター掲示場,鑓水１６０９先
065-6 バス停「鑓水入口」東方,35.6138713888889,139.343717777778,ポスター掲示場,鑓水１３９８
066-1 バス停「九反甫公園」前,35.6060788888889,139.377158611111,ポスター掲示場,南大沢４－２１－１先
066-2 南大沢小学校正門脇,35.6074325,139.37455,ポスター掲示場,南大沢４－１８
066-3 都立小山内裏公園東,35.6058894444444,139.375189722222,ポスター掲示場,南大沢４－４７－９先
066-4 多摩ニュータウン南大沢団地４号棟東側,35.608945,139.376964722222,ポスター掲示場,南大沢４－１５
066-5 四季の丘南緑地西側,35.60419,139.373457777778,ポスター掲示場,南大沢４－１１２先
066-6 公団シティハイツ南大沢西側,35.6106933333333,139.377379722222,ポスター掲示場,南大沢４－１０
066-7 南大沢小学校北側校門脇,35.609145,139.374897222222,ポスター掲示場,南大沢４－１８
067-1 長池小学校西側道路沿い,35.6098927777778,139.3879025,ポスター掲示場,別所１－５５
067-2 松木公園西側駐車場前植込,35.611995,139.389434444444,ポスター掲示場,別所１－５６－２
067-3 松木公園東側植込,35.6122644444444,139.391270833333,ポスター掲示場,別所１－５６－２
067-4 公団ビューコート別所3号棟集会所前,35.6154172222222,139.390003611111,ポスター掲示場,別所１－３８－３
067-5 多摩ニュータウン別所一丁目第２団地1号棟駐車場裏植込,35.6085033333333,139.388114722222,ポスター掲示場,別所１－４８－１
067-6 別所やまざくら公園南側,35.6164683333333,139.387096666667,ポスター掲示場,別所１－４０
067-7 別所坂公園下歩道橋前広場,35.6146144444444,139.385007777778,ポスター掲示場,別所１－１２８
067-8 長池小学校北側道路植込,35.6116541666667,139.387955,ポスター掲示場,別所１－５５
080-1 横山事務所前,35.6512630555556,139.300195,ポスター掲示場,並木町１５－１５
080-2 並木町ふれあい公園内フェンス,35.6528058333333,139.304104722222,ポスター掲示場,並木町９－２７
080-3 バス停「桑志高校」南側信号前緑地,35.6552619444444,139.305987222222,ポスター掲示場,並木町３７－１８先
080-4 都立富士森高校河川沿いフェンス,35.6562677777778,139.302339166667,ポスター掲示場,長房町４２０－２
080-5 稲荷森神社北西塀,35.65295,139.300551944444,ポスター掲示場,並木町２４－１７
080-6 長房市民センター西側フェンス,35.65023,139.295340833333,ポスター掲示場,長房町５０６－２
080-7 旧長房南アパート52号棟東フェンス,35.6548161111111,139.297245277778,ポスター掲示場,長房町５５０－９先
081-1 東雲第二公園西側,35.6528872222222,139.316563611111,ポスター掲示場,散田町１－１６
081-2 南多摩病院南側フェンス,35.6551352777778,139.312951944444,ポスター掲示場,散田町３－１０－１
081-3 西八王子駅南口線路沿いフェンス,35.6559141666667,139.311538055556,ポスター掲示場,散田町３－１先
081-4 西八王子ハイツＡ棟西側垣根,35.6549122222222,139.314726944444,ポスター掲示場,散田町１－１
081-5 ＮＴＴ八王子駐車場南側フェンス,35.6523511111111,139.308885555556,ポスター掲示場,散田町３－１４－２０
081-6 散田給水所北側フェンス,35.6515830555556,139.314607777778,ポスター掲示場,散田町２－６－１
081-7 東散田公園内,35.6516011111111,139.310113888889,ポスター掲示場,散田町３－２４
082-1 めじろ台東公園東側,35.6436463888889,139.315281111111,ポスター掲示場,山田町１６７７－１先
082-2 山田橋前廣園禅寺駐車場フェンス,35.6457330555556,139.316677777778,ポスター掲示場,山田町１５７７
082-3 山田小学校南門東側フェンス,35.6459827777778,139.313690833333,ポスター掲示場,山田町１５５３
082-4 めじろ台東公園西側,35.643995,139.314619722222,ポスター掲示場,山田町１９５４－１先
082-5 緑町西公園北側,35.6452738888889,139.319907777778,ポスター掲示場,緑町４０１先
082-6 桝形公園北側植込,35.6423052777778,139.316800555556,ポスター掲示場,山田町１６８１－２先
082-7 小比企北公園南側,35.6434894444444,139.318513888889,ポスター掲示場,小比企町４６９－４先
083-1 第二開戸橋北,35.6589238888889,139.297808888889,ポスター掲示場,長房町２５６
083-2 長房東アパート人形塚公園東側,35.6584675,139.3016875,ポスター掲示場,長房町４０４－２先
